income_group,decade,n_countries,n_obs,avg_u5_mort,median_u5_mort,sd_u5_mort,min_u5_mort,max_u5_mort
High income,1990,65,650,14.35,11.1,10.26,4.1,66.9
High income,2000,65,650,9.88,7.1,7.52,2.7,46.7
High income,2010,65,650,7.46,5.1,5.98,1.5,37.6
High income,2020,65,260,6.44,4.4,5.13,1.3,28.6
Low income,1990,25,249,177.82,175.9,65.89,24.1,389.0
Low income,2000,25,249,123.0,123.1,46.36,18.8,239.0
Low income,2010,25,250,87.42,79.55,45.48,17.7,363.1
Low income,2020,25,99,69.09,63.9,30.44,17.4,178.7
Lower middle income,1990,50,500,98.68,100.1,49.04,16.9,233.4
Lower middle income,2000,50,500,70.47,68.2,36.96,12.0,185.0
Lower middle income,2010,50,500,47.08,46.1,26.62,7.2,137.7
Lower middle income,2020,50,200,38.31,37.65,23.05,6.1,117.6
Upper middle income,1990,54,540,43.72,39.5,27.22,8.9,176.7
Upper middle income,2000,54,540,29.77,23.55,21.23,6.1,154.5
Upper middle income,2010,54,540,20.43,16.7,14.57,3.1,109.4
Upper middle income,2020,54,216,17.07,13.6,12.08,2.4,77.9
